time,flow,temp,salt
2010-07-13 00:00:00,    0.000000,    5.851422,    0.000000
2010-07-14 00:00:00,    0.000000,    5.855470,    0.000000
2010-07-15 00:00:00,    0.000000,    5.858187,    0.000000
2010-07-16 00:00:00, 4759.007140,    5.864005,    0.000000
2010-07-17 00:00:00,10922.047197,    5.875919,    0.000000
2010-07-18 00:00:00,    0.000000,    5.888439,    0.000000
2010-07-19 00:00:00,    0.000000,    5.896562,    0.000000
2010-07-20 00:00:00,    0.000000,    5.899764,    0.000000
2010-07-21 00:00:00,    0.000000,    5.901426,    0.000000
2010-07-22 00:00:00,    0.000000,    5.902271,    0.000000
2010-07-23 00:00:00,    0.000000,    5.904557,    0.000000
2010-07-24 00:00:00,    0.000000,    5.905939,    0.000000
2010-07-25 00:00:00,    0.000000,    5.907710,    0.000000
2010-07-26 00:00:00,    0.000000,    5.910364,    0.000000
2010-07-27 00:00:00,    0.000000,    5.911228,    0.000000
2010-07-28 00:00:00,    0.000000,    5.914458,    0.000000
2010-07-29 00:00:00,    0.000000,    5.919689,    0.000000
2010-07-30 00:00:00,    0.000000,    5.926484,    0.000000
2010-07-31 00:00:00,    0.000000,    5.931993,    0.000000
2010-08-01 00:00:00,    0.000000,    5.932614,    0.000000
2010-08-02 00:00:00,    0.000000,    5.931363,    0.000000
2010-08-03 00:00:00,    0.000000,    5.932013,    0.000000
2010-08-04 00:00:00,   83.681779,    5.933856,    0.000000
2010-08-05 00:00:00, 6659.826435,    5.936366,    0.000000
2010-08-06 00:00:00,    0.000000,    5.939125,    0.000000
2010-08-07 00:00:00,    0.000000,    5.944189,    0.000000
2010-08-08 00:00:00,    0.000000,    5.950355,    0.000000
2010-08-09 00:00:00,    0.000000,    5.953365,    0.000000
2010-08-10 00:00:00,    0.000000,    5.955020,    0.000000
2010-08-11 00:00:00,  191.605800,    5.956226,    0.000000
2010-08-12 00:00:00,    0.000000,    5.957199,    0.000000
2010-08-13 00:00:00,    0.000000,    5.956503,    0.000000
2010-08-14 00:00:00,  370.092880,    5.955959,    0.000000
2010-08-15 00:00:00, 3710.632624,    5.957707,    0.000000
2010-08-16 00:00:00, 5533.107680,    5.961466,    0.000000
2010-08-17 00:00:00,   95.030388,    5.967151,    0.000000
2010-08-18 00:00:00,    0.000000,    5.980372,    0.000000
2010-08-19 00:00:00,    0.000000,    5.992413,    0.000000
2010-08-20 00:00:00,    0.000000,    5.997586,    0.000000
2010-08-21 00:00:00,    0.000000,    5.999124,    0.000000
2010-08-22 00:00:00, 1915.069700,    5.999961,    0.000000
2010-08-23 00:00:00,14688.516996,    6.001179,    0.000000
2010-08-24 00:00:00, 2976.767677,    6.001673,    0.000000
2010-08-25 00:00:00,    0.000000,    6.002715,    0.000000
2010-08-26 00:00:00,    0.000000,    6.008052,    0.000000
2010-08-27 00:00:00,    0.000000,    6.016391,    0.000000
2010-08-28 00:00:00,    0.000000,    6.020345,    0.000000
2010-08-29 00:00:00,    0.000000,    6.023304,    0.000000
2010-08-30 00:00:00,    0.000000,    6.033806,    0.000000
2010-08-31 00:00:00,    0.000000,    6.047987,    0.000000
2010-09-01 00:00:00,    0.000000,    6.060026,    0.000000
2010-09-02 00:00:00,    0.000000,    6.072358,    0.000000
2010-09-03 00:00:00,    0.000000,    6.076896,    0.000000
2010-09-04 00:00:00,    0.000000,    6.077310,    0.000000
2010-09-05 00:00:00,    0.000000,    6.084225,    0.000000
2010-09-06 00:00:00,    0.000000,    6.102238,    0.000000
2010-09-07 00:00:00,    0.000000,    6.110754,    0.000000
2010-09-08 00:00:00,    0.000000,    6.110585,    0.000000
2010-09-09 00:00:00,    0.000000,    6.113785,    0.000000
2010-09-10 00:00:00,    0.000000,    6.126561,    0.000000
2010-09-11 00:00:00,    0.000000,    6.129815,    0.000000
2010-09-12 00:00:00,    0.000000,    6.130753,    0.000000
2010-09-13 00:00:00,    0.000000,    6.136481,    0.000000
2010-09-14 00:00:00,    0.000000,    6.147847,    0.000000
2010-09-15 00:00:00,    0.000000,    6.161331,    0.000000
2010-09-16 00:00:00,    0.000000,    6.166181,    0.000000
2010-09-17 00:00:00,    0.000000,    6.162920,    0.000000
2010-09-18 00:00:00,    0.000000,    6.161041,    0.000000
2010-09-19 00:00:00, 1085.822248,    6.162787,    0.000000
2010-09-20 00:00:00,    0.000000,    6.165695,    0.000000
2010-09-21 00:00:00,    0.000000,    6.165167,    0.000000
2010-09-22 00:00:00,    0.000000,    6.165707,    0.000000
2010-09-23 00:00:00,    0.000000,    6.186588,    0.000000
2010-09-24 00:00:00,    0.000000,    6.196611,    0.000000
2010-09-25 00:00:00,13023.244158,    6.193396,    0.000000
2010-09-26 00:00:00,23176.093052,    6.206623,    0.000000
2010-09-27 00:00:00, 4365.859421,    6.231734,    0.000000
2010-09-28 00:00:00,    0.000000,    6.232957,    0.000000
2010-09-29 00:00:00,    0.000000,    6.231789,    0.000000
2010-09-30 00:00:00,    0.000000,    6.233872,    0.000000
2010-10-01 00:00:00,    0.000000,    6.238734,    0.000000
2010-10-02 00:00:00,    0.000000,    6.247988,    0.000000
2010-10-03 00:00:00,    0.000000,    6.247478,    0.000000
2010-10-04 00:00:00,    0.000000,    6.248002,    0.000000
2010-10-05 00:00:00,    0.000000,    6.248461,    0.000000
2010-10-06 00:00:00,    0.000000,    6.245542,    0.000000
2010-10-07 00:00:00,    0.000000,    6.244650,    0.000000
2010-10-08 00:00:00,    0.000000,    6.247752,    0.000000
2010-10-09 00:00:00,    0.000000,    6.253800,    0.000000
2010-10-10 00:00:00,    0.000000,    6.255128,    0.000000
2010-10-11 00:00:00,    0.000000,    6.254582,    0.000000
2010-10-12 00:00:00,    0.000000,    6.249266,    0.000000
